Filepath,Line Count,Current Purpose,Topics Covered,Proposed Type,Proposed Domain,Proposed Keywords,Split Needed,Split Plan,Estimated New Files
"./docs/archive/SPI-732-research-report.md",560,"Research report for SPI-732","Historical research, findings, recommendations","Reference","archive","spi-732, research, historical, report",NO,"Archive - historical reference",1
"./docs/archive/audits/phase-2-testing-cicd.md",556,"Phase 2 testing and CI/CD audit","Historical audit, testing review, CI/CD review","Reference","archive, audits","phase-2, testing, cicd, audit, historical",NO,"Archive - historical reference",1
"./docs/api/migration-guide.md",547,"API migration guide","API versioning, breaking changes, migration steps, compatibility","Guide","api, migration","api, migration, versioning, compatibility, guide",NO,"",1
"./docs/getting-started/mcp-client-setup.md",532,"MCP client setup guide","Client installation, configuration, connection setup, verification","Guide","getting-started, mcp","mcp, client, setup, installation, configuration",NO,"",1
"./.claude/test-scenarios/context-engineer-tests.md",500,"Context engineer testing scenarios","Test scenarios, context engineering, validation cases","Reference","testing, tools","context-engineer, tests, scenarios, validation",NO,"",1
"./docs/archive/test-plans/parallel-tdd-test-plan.md",493,"Parallel TDD test plan","Parallel testing, TDD workflow, test execution strategy","Pattern","testing, archive","parallel, tdd, testing, workflow, plan",NO,"Archive - historical reference",1
"./docs/development/repository-usage.md",490,"Repository usage patterns and examples","Repository pattern, usage examples, CRUD operations, testing patterns","Guide","development, persistence","repository, usage, crud, patterns, examples",NO,"",1
"./docs/reference/technical-design/database-di-migration.md",472,"Database and DI migration guide","Database migration, DI refactoring, H2 migration, patterns","Guide","architecture, migration","database, di, migration, h2, refactoring",NO,"",1
"./docs/archive/sessions/2024-10-14-spi-705-sdk-client-research.md",460,"SDK client research session notes","Historical research, SDK client, findings","Reference","archive, sessions","spi-705, sdk, research, historical, notes",NO,"Archive - historical reference",1
"./.claude/agents/context-engineer.md",460,"Context engineer agent specification","Agent role, responsibilities, workflow, prompts","Reference","tools, agents","context-engineer, agent, role, workflow, prompts",NO,"",1
"./docs/archive/audits/phase-2-architecture.md",448,"Phase 2 architecture audit","Historical audit, architecture review, findings","Reference","archive, audits","phase-2, architecture, audit, historical",NO,"Archive - historical reference",1
"./docs/development/project-structure.md",439,"Project directory structure guide","Project layout, directory organization, file conventions, module structure","Guide","development","project-structure, organization, directories, conventions",NO,"",1
"./docs/archive/SPI-732-implementation-summary.md",438,"SPI-732 implementation summary","Historical implementation, summary, outcomes","Reference","archive","spi-732, implementation, summary, historical",NO,"Archive - historical reference",1
"./docs/archive/test-plans/cd-implementation-test-plan.md",437,"CD implementation test plan","Continuous deployment, test plan, implementation strategy","Pattern","testing, cicd, archive","cd, testing, deployment, plan, historical",NO,"Archive - historical reference",1
"./.claude/shared/testing-standards.md",423,"Testing standards and architecture","Test standards, architecture patterns, anti-patterns, quality gates, testability design","Concept","testing","testing, standards, architecture, patterns, quality",NO,"",1
"./CONTRIBUTING.md",422,"Contribution guidelines","Git workflow, PR process, code standards, commit conventions","Guide","project-management","contributing, git, pr, standards, conventions",NO,"",1
"./docs/architecture/session-management.md",416,"Session management architecture","Session lifecycle, persistence, expiration, state management","Concept","architecture, sessions","sessions, lifecycle, persistence, state, management",NO,"",1
"./docs/reference/troubleshooting.md",415,"General troubleshooting guide","Common issues, solutions, debugging, error resolution","Reference","troubleshooting","troubleshooting, debugging, errors, solutions, issues",NO,"",1
"./docs/api/mcp-resources.md",409,"MCP resources specification","Resource design, MCP protocol, resource patterns, implementation","Concept","api, mcp","mcp, resources, protocol, design, patterns",NO,"",1
"./docs/reference/technical-design/domain-entities.md",397,"Domain entity design patterns","DDD entities, domain model, entity patterns, validation","Pattern","architecture, domain","domain, entities, ddd, patterns, validation",NO,"",1
"./docs/ci-cd/production-approvals.md",388,"Production deployment approval workflow","Approval gates, production deployment, review process","Guide","cicd, operations","production, approvals, deployment, workflow, gates",NO,"",1
"./docs/archive/SPI-732-setup-guide.md",380,"SPI-732 setup guide","Historical setup, configuration, guide","Reference","archive","spi-732, setup, configuration, historical",NO,"Archive - historical reference",1
"./docs/getting-started/quick-start.md",367,"Quick start guide","Installation, first steps, basic usage, getting started","Guide","getting-started","quickstart, installation, setup, basics, guide",NO,"",1
"./docs/ci-cd/environment-protection.md",355,"CI/CD environment protection rules","Environment protection, deployment gates, branch rules","Guide","cicd, operations","environment, protection, deployment, gates, security",NO,"",1
"./docs/reference/technical-design/mcp-mvp-spike-plan.md",353,"MCP MVP spike plan","MVP planning, spike investigation, initial design","Reference","architecture, mcp","mcp, mvp, spike, planning, design",NO,"",1
"./docs/development/single-feature-workflow.md",348,"Single feature development workflow","Feature development, git workflow, testing, review process","Guide","development, workflow","feature, workflow, development, git, testing",NO,"",1
"./docs/archive/audits/FOUNDATION_REVIEW_REPORT.md",345,"Foundation review audit report","Historical audit, foundation review, findings","Reference","archive, audits","foundation, review, audit, historical, report",NO,"Archive - historical reference",1
"./docs/archive/audits/phase-2-development.md",335,"Phase 2 development audit","Historical audit, development practices, review","Reference","archive, audits","phase-2, development, audit, historical",NO,"Archive - historical reference",1
"./docs/ci-cd/staging-promotion.md",318,"Staging to production promotion workflow","Staging deployment, promotion process, validation gates","Guide","cicd, operations","staging, promotion, deployment, workflow, validation",NO,"",1
"./docs/performance/baseline-results.md",307,"Performance baseline test results","Performance metrics, baseline results, benchmarks","Reference","performance, testing","performance, benchmarks, baseline, metrics, results",NO,"",1
"./docs/reference/decision-guide.md",306,"Workflow decision guide","Workflow selection, decision trees, guidance","Reference","development, workflow","decisions, workflow, guide, selection, trees",NO,"",1
"./docs/testing/parallel-development.md",299,"Parallel development testing guide","Parallel testing, concurrent development, coordination patterns","Guide","testing, development","parallel, testing, concurrent, coordination, development",NO,"",1
"./docs/reference/worktree-operations.md",294,"Git worktree operations reference","Git worktrees, commands, operations, workflow","Reference","development, git","worktree, git, operations, commands, reference",NO,"",1
"./docs/testing/phase3-red-test-results.md",289,"Phase 3 RED test results","Test results, RED phase, TDD outcomes","Reference","testing, archive","phase-3, red-phase, tdd, results, testing",NO,"Archive - historical reference",1
"./docs/api/rest-endpoints.md",283,"REST API endpoints documentation","API endpoints, routes, parameters, responses","Reference","api, rest","rest, api, endpoints, routes, documentation",NO,"",1
"./docs/performance/caching-strategy.md",279,"Caching strategy and implementation","Caching patterns, performance optimization, cache invalidation","Pattern","performance, architecture","caching, performance, optimization, patterns, strategy",NO,"",1
"./docs/testing/spi-689-test-report-red-phase.md",276,"SPI-689 RED phase test report","Test report, RED phase, TDD results","Reference","testing, archive","spi-689, red-phase, tdd, testing, report",NO,"Archive - historical reference",1
"./docs/ci-cd/versioning.md",258,"Version management and tagging strategy","Versioning, semantic versioning, tagging, releases","Guide","cicd, project-management","versioning, semver, tags, releases, strategy",NO,"",1
"./docs/operations/deployment-guide.md",255,"Deployment operations guide","Deployment procedures, operations, infrastructure, monitoring","Guide","operations, deployment","deployment, operations, infrastructure, monitoring, guide",NO,"",1
"./docs/development/setup.md",251,"Development environment setup","Environment setup, dependencies, configuration, tooling","Guide","development, getting-started","setup, environment, configuration, dependencies, dev",NO,"",1
"./docs/testing/test-source-set-guide.md",247,"Test source set organization guide","Test organization, source sets, Gradle configuration","Guide","testing, development","testing, source-sets, gradle, organization, guide",NO,"",1
"./docs/getting-started/onboarding.md",236,"Project onboarding guide","Onboarding process, initial setup, team integration","Guide","getting-started","onboarding, setup, integration, team, guide",NO,"",1
"./docs/reference/technical-design/business-rule-verification-report.md",235,"Business rule verification report","Business rules, verification, domain logic, validation","Reference","architecture, domain","business-rules, verification, domain, validation, report",NO,"",1
"./docs/reference/agents.md",232,"Agent system reference documentation","Agent types, roles, delegation patterns, coordination","Reference","tools, agents","agents, roles, delegation, coordination, reference",NO,"",1
"./docs/testing/database-test-migration-guide.md",226,"Database test migration guide","Test migration, database testing, H2 migration, patterns","Guide","testing, persistence","database, testing, migration, h2, guide",NO,"",1
"./docs/testing/strategy.md",233,"Testing strategy overview","Test strategy, test types, coverage, organization, CI integration","Concept","testing","testing, strategy, coverage, organization, types",NO,"",1
"./docs/development/branching-strategy.md",226,"Git branching strategy","Branch naming, git workflow, trunk-based development","Guide","development, git","git, branches, workflow, strategy, trunk-based",NO,"",1
"./docs/testing/test-suites.md",225,"Test suite configuration","Test suites, Gradle tasks, execution strategy","Reference","testing","testing, suites, gradle, execution, configuration",NO,"",1
"./docs/getting-started/installation.md",217,"Installation instructions","Installation, prerequisites, setup steps","Guide","getting-started","installation, setup, prerequisites, guide",NO,"",1
"./docs/ci-cd/concurrency-control.md",213,"CI/CD concurrency control","Concurrency, job coordination, resource locking","Guide","cicd","concurrency, coordination, locking, cicd, control",NO,"",1
"./docs/ci-cd/release-process.md",205,"Release process documentation","Release workflow, versioning, changelog, deployment","Guide","cicd, operations","release, process, versioning, changelog, deployment",NO,"",1
"./docs/getting-started/configuration.md",203,"Configuration guide","Configuration options, environment variables, settings","Guide","getting-started, configuration","configuration, environment, settings, options, guide",NO,"",1
"./docs/ci-cd/environments.md",190,"CI/CD environments configuration","Environment configuration, deployment targets, settings","Reference","cicd","environments, configuration, deployment, targets, cicd",NO,"",1
"./docs/archive/sessions/2024-10-14-spi-705-test-fixes.md",189,"SPI-705 test fixes session notes","Historical session, test fixes, notes","Reference","archive, sessions","spi-705, test-fixes, historical, session, notes",NO,"Archive - historical reference",1
"./docs/reference/limitations.md",177,"System limitations documentation","Known limitations, constraints, future improvements","Reference","project-management","limitations, constraints, known-issues, future",NO,"",1
"./.claude/workflows/tdd-workflow.md",170,"TDD workflow for agents","Agent workflow, TDD process, RED-GREEN-REFACTOR cycle","Guide","tools, workflow, testing","tdd, workflow, agents, red-green-refactor, testing",NO,"",1
"./docs/api/quick-start.md",169,"API quick start guide","API introduction, basic usage, quick examples","Guide","api, getting-started","api, quickstart, examples, basics, guide",NO,"",1
"./docs/testing/local-testing.md",165,"Local testing guide","Local testing, development testing, test execution","Guide","testing, development","local, testing, development, execution, guide",NO,"",1
"./docs/ci-cd/container-tagging.md",163,"Container tagging strategy","Docker tags, versioning, image management","Guide","cicd, operations","docker, containers, tagging, versioning, images",NO,"",1
"./docs/archive/sessions/2025-07-session.md",158,"July 2025 session notes","Historical session, development notes","Reference","archive, sessions","2025-07, session, historical, notes",NO,"Archive - historical reference",1
"./docs/README.md",146,"Documentation index","Documentation overview, navigation, structure","Reference","documentation","docs, index, navigation, overview, structure",NO,"",1
"./.claude/workflows/direct-workflow.md",137,"Direct implementation workflow","Agent workflow, direct implementation, no TDD","Guide","tools, workflow","direct, workflow, implementation, agents, development",NO,"",1
"./docs/testing/tdd-workflow.md",135,"TDD workflow guide","TDD methodology, workflow steps, best practices","Guide","testing, development","tdd, workflow, methodology, testing, development",NO,"",1
"./.claude/workflows/bugfix-workflow.md",131,"Bug fix workflow for agents","Agent workflow, bug fixes, reproduction, resolution","Guide","tools, workflow","bugfix, workflow, agents, bugs, resolution",NO,"",1
"./docs/migration/profile-configuration-migration.md",122,"Profile configuration migration guide","Configuration migration, profile updates, legacy migration","Guide","migration, configuration","migration, profiles, configuration, legacy, update",NO,"",1
"./docs/adr/0001-exposed-orm-transaction-pattern.md",115,"ADR for Exposed ORM transaction pattern","Architecture decision, Exposed ORM, transactions","Reference","architecture, decisions","adr, exposed, transactions, orm, pattern",NO,"",1
"./.claude/shared/git-conventions.md",113,"Git conventions reference","Git conventions, commit messages, branch naming","Reference","development, git","git, conventions, commits, branches, standards",NO,"",1
"./docs/archive/refactoring-notes/spi-468-notes.md",110,"SPI-468 refactoring notes","Historical refactoring, notes, changes","Reference","archive, refactoring","spi-468, refactoring, historical, notes",NO,"Archive - historical reference",1
"./SPI-708-DOCUMENTATION-AUDIT-REPORT.md",103,"SPI-708 documentation audit report","Audit results, documentation review, recommendations","Reference","project-management","spi-708, audit, documentation, review, report",NO,"",1
"./docs/MVP_DEMO_SCRIPT.md",102,"MVP demo script","Demo script, walkthrough, presentation","Reference","product, demo","mvp, demo, script, presentation, walkthrough",NO,"",1
"./docs/MVP_CAPABILITY_SUMMARY.md",100,"MVP capability summary","MVP features, capabilities, functionality","Reference","product","mvp, capabilities, features, functionality, summary",NO,"",1
"./docs/archive/sessions/SPI-637-phase3-resumption-guide.md",97,"SPI-637 phase 3 resumption guide","Historical guide, phase resumption, recovery","Reference","archive, sessions","spi-637, phase-3, resumption, historical, guide",NO,"Archive - historical reference",1
"./.claude/README.md",94,"Claude Code configuration readme","Claude configuration, agent setup, tools","Reference","tools, documentation","claude, configuration, agents, tools, readme",NO,"",1
"./SPI-707-DOCUMENTATION-UPDATE-SUMMARY.md",89,"SPI-707 documentation update summary","Update summary, documentation changes, outcomes","Reference","project-management","spi-707, documentation, updates, summary",NO,"",1
"./CLAUDE.md",88,"Claude Code project instructions","Project overview, tech stack, development workflows, agent guidance","Reference","project-management","claude, project, overview, instructions, guidance",NO,"",1
"./.claude/workflows/task-tool-workflow.md",84,"Task tool workflow for agents","Agent workflow, task tool usage, interactive development","Guide","tools, workflow","task-tool, workflow, agents, interactive, development",NO,"",1
"./.claude/agents/developer.md",81,"Developer agent specification","Agent role, implementation, coding guidelines","Reference","tools, agents","developer, agent, role, implementation, coding",NO,"",1
"./.claude/agents/qa.md",81,"QA agent specification","Agent role, testing, quality assurance, test creation","Reference","tools, agents","qa, agent, role, testing, quality",NO,"",1
"./.claude/shared/parallel-development-detection.md",70,"Parallel development detection rules","Parallel development, detection patterns, workflow triggers","Reference","development, workflow","parallel, detection, workflow, development, patterns",NO,"",1
"./.claude/agents/tech-lead.md",69,"Tech lead agent specification","Agent role, leadership, architecture, coordination","Reference","tools, agents","tech-lead, agent, role, architecture, coordination",NO,"",1
"./.claude/agents/code-reviewer.md",67,"Code reviewer agent specification","Agent role, code review, quality checks, standards","Reference","tools, agents","code-reviewer, agent, role, review, quality",NO,"",1
"./docs/archive/refactoring-notes/spi-467-summary.md",67,"SPI-467 refactoring summary","Historical refactoring, summary, outcomes","Reference","archive, refactoring","spi-467, refactoring, historical, summary",NO,"Archive - historical reference",1
"./.claude/agents/devops-engineer.md",67,"DevOps engineer agent specification","Agent role, deployment, infrastructure, CI/CD","Reference","tools, agents","devops, agent, role, deployment, cicd",NO,"",1
"./.claude/agents/tech-writer.md",65,"Tech writer agent specification","Agent role, documentation, technical writing","Reference","tools, agents","tech-writer, agent, role, documentation, writing",NO,"",1
"./.claude/agents/product-manager.md",59,"Product manager agent specification","Agent role, product management, requirements, planning","Reference","tools, agents","product-manager, agent, role, planning, requirements",NO,"",1
"./docs/architecture/decisions/ADR-005-database-initialization-pattern.md",55,"ADR for database initialization pattern","Architecture decision, database initialization, patterns","Reference","architecture, decisions","adr, database, initialization, pattern",NO,"",1
"./SPI-707-TEST-FAILURE-ANALYSIS.md",55,"SPI-707 test failure analysis","Test failures, analysis, root causes, resolutions","Reference","testing, project-management","spi-707, test-failures, analysis, testing",NO,"",1
"./.claude/agents/software-architect.md",45,"Software architect agent specification","Agent role, architecture, design, technical decisions","Reference","tools, agents","architect, agent, role, architecture, design",NO,"",1
"./docs/architecture/decisions/ADR-007-repository-issue-persistence.md",43,"ADR for repository issue persistence","Architecture decision, repository pattern, persistence","Reference","architecture, decisions","adr, repository, persistence, issues",NO,"",1
"./docs/architecture/decisions/ADR-007-repository-singleton-thread-safety.md",41,"ADR for repository singleton thread safety","Architecture decision, repository singleton, thread safety","Reference","architecture, decisions","adr, repository, singleton, thread-safety",NO,"",1
"./README.md",35,"Project README","Project overview, quickstart, key information","Reference","project-management","readme, overview, project, quickstart",NO,"",1
"./docs/architecture/decisions/ADR-006-lifecycle-managed-cleanup.md",29,"ADR for lifecycle managed cleanup","Architecture decision, lifecycle management, cleanup patterns","Reference","architecture, decisions","adr, lifecycle, cleanup, management",NO,"",1
"./.github/CODECOV_DIAGNOSTIC.md",20,"Codecov diagnostic information","Code coverage, diagnostic info, debugging","Reference","testing, cicd","codecov, coverage, diagnostic, testing",NO,"",1
"./.claude/shared/linear-reference.md",20,"Linear reference information","Linear integration, issue IDs, workflow states","Reference","tools, linear","linear, reference, issues, workflow, states",NO,"",1
"./.claude/shared/development-commands.md",8,"Development commands reference","Development commands, gradle tasks, tooling","Reference","development, tools","commands, gradle, development, tools, reference",NO,"",1
"./.claude/commands/worktree-cleanup.md",8,"Worktree cleanup command","Command specification, worktree cleanup, git operations","Reference","tools, git","worktree, cleanup, command, git, operations",NO,"",1
"./.claude/commands/hello.md",8,"Hello command example","Command example, template, usage","Example","tools","hello, command, example, template",NO,"",1
"./.local/workflows/README.md",0,"Local workflows readme (empty)","Empty file, placeholder","Reference","tools","workflows, local, readme",NO,"",1
"./src/main/kotlin/io/spiralhouse/cycletime/infrastructure/di/README.md",0,"DI infrastructure readme (empty)","Empty file, placeholder","Reference","architecture, code","di, infrastructure, readme, code",NO,"",1
